Time 		 total_aerosol_mass(Kg)
   3.122222e+00   1.312308e+02
   3.127778e+00   1.308634e+02
   3.133333e+00   1.304983e+02
   3.138889e+00   1.301354e+02
   3.144444e+00   1.297747e+02
   3.150000e+00   1.294161e+02
   3.155556e+00   1.290598e+02
   3.161111e+00   1.287055e+02
   3.166667e+00   1.283534e+02
   3.172222e+00   1.280034e+02
   3.177778e+00   1.276554e+02
   3.183333e+00   1.273095e+02
   3.188889e+00   1.269656e+02
   3.194444e+00   1.266238e+02
   3.200000e+00   1.262839e+02
   3.205556e+00   1.259460e+02
   3.211111e+00   1.256100e+02
   3.216667e+00   1.252760e+02
   3.222222e+00   1.249439e+02
   3.227778e+00   1.246137e+02
   3.233333e+00   1.242853e+02
   3.238889e+00   1.239589e+02
   3.244444e+00   1.236342e+02
   3.250000e+00   1.233114e+02
   3.255556e+00   1.229904e+02
   3.261111e+00   1.226712e+02
   3.266667e+00   1.223538e+02
   3.272222e+00   1.220381e+02
   3.277778e+00   1.217241e+02
   3.283333e+00   1.214119e+02
   3.288889e+00   1.211014e+02
   3.294444e+00   1.207925e+02
   3.300000e+00   1.204854e+02
   3.305556e+00   1.201799e+02
   3.311111e+00   1.198761e+02
   3.316667e+00   1.195738e+02
   3.322222e+00   1.192732e+02
   3.327778e+00   1.189742e+02
   3.333333e+00   1.186768e+02
   3.338889e+00   1.183810e+02
   3.344444e+00   1.180867e+02
   3.350000e+00   1.177940e+02
   3.355556e+00   1.175028e+02
   3.361111e+00   1.172131e+02
   3.366667e+00   1.169249e+02
   3.372222e+00   1.166382e+02
   3.377778e+00   1.163530e+02
   3.383333e+00   1.160692e+02
   3.388889e+00   1.157869e+02
   3.394444e+00   1.155060e+02
   3.400000e+00   1.152266e+02
   3.405556e+00   1.149486e+02
   3.411111e+00   1.146719e+02
   3.416667e+00   1.143967e+02
   3.422222e+00   1.141228e+02
   3.427778e+00   1.138503e+02
   3.433333e+00   1.135792e+02
   3.438889e+00   1.133094e+02
   3.444444e+00   1.130409e+02
   3.450000e+00   1.127738e+02
   3.455556e+00   1.125080e+02
   3.461111e+00   1.122434e+02
   3.466667e+00   1.119802e+02
   3.472222e+00   1.117182e+02
   3.477778e+00   1.114575e+02
   3.483333e+00   1.111980e+02
   3.488889e+00   1.109398e+02
   3.494444e+00   1.106829e+02
   3.500000e+00   1.104271e+02
   3.505556e+00   1.101726e+02
   3.511111e+00   1.099193e+02
   3.516667e+00   1.096672e+02
   3.522222e+00   1.094162e+02
   3.527778e+00   1.091665e+02
   3.533333e+00   1.089179e+02
   3.538889e+00   1.086705e+02
   3.544444e+00   1.084242e+02
   3.550000e+00   1.081790e+02
   3.555556e+00   1.079350e+02
   3.561111e+00   1.076921e+02
   3.566667e+00   1.074504e+02
   3.572222e+00   1.072097e+02
   3.577778e+00   1.069701e+02
   3.583333e+00   1.067316e+02
   3.588889e+00   1.064942e+02
   3.594444e+00   1.062579e+02
   3.600000e+00   1.060226e+02
   3.605556e+00   1.057884e+02
   3.611111e+00   1.055552e+02
   3.616667e+00   1.053231e+02
   3.622222e+00   1.050920e+02
   3.627778e+00   1.048620e+02
   3.633333e+00   1.046329e+02
   3.638889e+00   1.044048e+02
   3.644444e+00   1.041778e+02
   3.650000e+00   1.039517e+02
   3.655556e+00   1.037267e+02
   3.661111e+00   1.035026e+02
   3.666667e+00   1.032795e+02
   3.672222e+00   1.030573e+02
   3.677778e+00   1.028361e+02
   3.683333e+00   1.026159e+02
   3.688889e+00   1.023966e+02
   3.694444e+00   1.021782e+02
   3.700000e+00   1.019608e+02
   3.705556e+00   1.017443e+02
   3.711111e+00   1.015287e+02
   3.716667e+00   1.013140e+02
   3.722222e+00   1.011002e+02
   3.727778e+00   1.008874e+02
   3.733333e+00   1.006754e+02
   3.738889e+00   1.004643e+02
   3.744444e+00   1.002540e+02
   3.750000e+00   1.000447e+02
   3.755556e+00   9.983620e+01
   3.761111e+00   9.962857e+01
   3.766667e+00   9.942180e+01
   3.772222e+00   9.921588e+01
   3.777778e+00   9.901080e+01
   3.783333e+00   9.880655e+01
   3.788889e+00   9.860314e+01
   3.794444e+00   9.840055e+01
   3.800000e+00   9.819878e+01
   3.805556e+00   9.799783e+01
   3.811111e+00   9.779769e+01
   3.816667e+00   9.759834e+01
   3.822222e+00   9.739980e+01
   3.827778e+00   9.720205e+01
   3.833333e+00   9.700509e+01
   3.838889e+00   9.680890e+01
   3.844444e+00   9.661350e+01
   3.850000e+00   9.641887e+01
   3.855556e+00   9.622500e+01
   3.861111e+00   9.603190e+01
   3.866667e+00   9.583955e+01
   3.872222e+00   9.564795e+01
   3.877778e+00   9.545710e+01
   3.883333e+00   9.526699e+01
   3.888889e+00   9.507762e+01
   3.894444e+00   9.488898e+01
   3.900000e+00   9.470107e+01
   3.905556e+00   9.451388e+01
   3.911111e+00   9.432741e+01
   3.916667e+00   9.414165e+01
   3.922222e+00   9.395661e+01
   3.927778e+00   9.377226e+01
   3.933333e+00   9.358862e+01
   3.938889e+00   9.340567e+01
   3.944444e+00   9.322342e+01
   3.950000e+00   9.304185e+01
   3.955556e+00   9.286096e+01
   3.961111e+00   9.268075e+01
   3.966667e+00   9.250122e+01
   3.972222e+00   9.232235e+01
   3.977778e+00   9.214416e+01
   3.983333e+00   9.196662e+01
   3.988889e+00   9.178974e+01
   3.994444e+00   9.161351e+01
   4.000000e+00   9.143794e+01
   4.005556e+00   9.126301e+01
   4.011111e+00   9.108872e+01
   4.016667e+00   9.091507e+01
   4.022222e+00   9.074205e+01
   4.027778e+00   9.056967e+01
   4.033333e+00   9.039791e+01
   4.038889e+00   9.022677e+01
   4.044444e+00   9.005625e+01
   4.050000e+00   8.988634e+01
   4.055556e+00   8.971705e+01
   4.061111e+00   8.954837e+01
   4.066667e+00   8.938029e+01
   4.072222e+00   8.921281e+01
   4.077778e+00   8.904592e+01
   4.083333e+00   8.887964e+01
   4.088889e+00   8.871394e+01
   4.094444e+00   8.854882e+01
   4.100000e+00   8.838430e+01
   4.105556e+00   8.822035e+01
   4.111111e+00   8.805697e+01
   4.116667e+00   8.789417e+01
   4.122222e+00   8.773194e+01
   4.127778e+00   8.757028e+01
   4.133333e+00   8.740918e+01
   4.138889e+00   8.724864e+01
   4.144444e+00   8.708866e+01
   4.150000e+00   8.692923e+01
   4.155556e+00   8.677035e+01
   4.161111e+00   8.661202e+01
   4.166667e+00   8.645423e+01
   4.172222e+00   8.629699e+01
   4.177778e+00   8.614028e+01
   4.183333e+00   8.598411e+01
   4.188889e+00   8.582847e+01
   4.194444e+00   8.567336e+01
   4.200000e+00   8.551878e+01
   4.205556e+00   8.536472e+01
   4.211111e+00   8.521117e+01
   4.216667e+00   8.505815e+01
   4.222222e+00   8.490564e+01
   4.227778e+00   8.475365e+01
   4.233333e+00   8.460216e+01
   4.238889e+00   8.445118e+01
   4.244444e+00   8.430071e+01
   4.250000e+00   8.415073e+01
   4.255556e+00   8.400125e+01
   4.261111e+00   8.385227e+01
   4.266667e+00   8.370378e+01
   4.272222e+00   8.355578e+01
   4.277778e+00   8.340827e+01
   4.283333e+00   8.326124e+01
   4.288889e+00   8.311470e+01
   4.294444e+00   8.296863e+01
   4.300000e+00   8.282305e+01
   4.305556e+00   8.267793e+01
   4.311111e+00   8.253329e+01
   4.316667e+00   8.238912e+01
   4.322222e+00   8.224542e+01
   4.327778e+00   8.210218e+01
   4.333333e+00   8.195940e+01
   4.338889e+00   8.181708e+01
   4.344444e+00   8.167522e+01
   4.350000e+00   8.153382e+01
   4.355556e+00   8.139287e+01
   4.361111e+00   8.125236e+01
   4.366667e+00   8.111231e+01
   4.372222e+00   8.097270e+01
   4.377778e+00   8.083354e+01
   4.383333e+00   8.069481e+01
   4.388889e+00   8.055653e+01
   4.394444e+00   8.041868e+01
   4.400000e+00   8.028127e+01
   4.405556e+00   8.014429e+01
   4.411111e+00   8.000774e+01
   4.416667e+00   7.987161e+01
   4.422222e+00   7.973591e+01
   4.427778e+00   7.960064e+01
   4.433333e+00   7.946579e+01
   4.438889e+00   7.933135e+01
   4.444444e+00   7.919734e+01
   4.450000e+00   7.906373e+01
   4.455556e+00   7.893055e+01
   4.461111e+00   7.879777e+01
   4.466667e+00   7.866540e+01
   4.472222e+00   7.853344e+01
   4.477778e+00   7.840188e+01
   4.483333e+00   7.827073e+01
   4.488889e+00   7.813997e+01
   4.494444e+00   7.800962e+01
   4.500000e+00   7.787966e+01
   4.505556e+00   7.775010e+01
   4.511111e+00   7.762093e+01
   4.516667e+00   7.749215e+01
   4.522222e+00   7.736377e+01
   4.527778e+00   7.723576e+01
   4.533333e+00   7.710815e+01
